,precision,recall,f1-score,support,auc,timestamp
0,0.9295774647887324,1.0,0.9635036496350365,198.0,0.9074314574314575,20250515_2202
1,1.0,0.7857142857142857,0.88,70.0,0.9074314574314575,20250515_2202
accuracy,0.9440298507462687,0.9440298507462687,0.9440298507462687,0.9440298507462687,0.9074314574314575,20250515_2202
macro avg,0.9647887323943662,0.8928571428571428,0.9217518248175183,268.0,0.9074314574314575,20250515_2202
weighted avg,0.9479714105528695,0.9440298507462687,0.9416929948796166,268.0,0.9074314574314575,20250515_2202
